subject,hand,comparison,distance
21,left,D1_D2,0.07862584
21,left,D1_D3,0.1138838
21,left,D1_D4,0.1824062
21,left,D1_D5,0.4343125
21,left,D2_D3,0.04237086
21,left,D2_D4,0.07239496
21,left,D2_D5,0.2415123
21,left,D3_D4,0.1296368
21,left,D3_D5,0.2782905
21,left,D4_D5,0.06133822
21,right,D1_D2,0.16086
21,right,D1_D3,0.1012184
21,right,D1_D4,0.1763262
21,right,D1_D5,0.1905712
21,right,D2_D3,0.09945799
21,right,D2_D4,0.1226371
21,right,D2_D5,0.1701863
21,right,D3_D4,0.12973
21,right,D3_D5,0.1850289
21,right,D4_D5,0.06668057
