subject,hand,run,volume,displacement
21,left,1,1,0.509866
21,left,1,2,0.510111
21,left,1,3,0.508331
21,left,1,4,0.525963
21,left,1,5,0.497357
21,left,1,6,0.490545
21,left,1,7,0.495029
21,left,1,8,0.449666
21,left,1,9,0.462769
21,left,1,10,0.460734
21,left,1,11,0.435598
21,left,1,12,0.433471
21,left,1,13,0.430366
21,left,1,14,0.40662
21,left,1,15,0.394366
21,left,1,16,0.392802
21,left,1,17,0.392053
21,left,1,18,0.363933
21,left,1,19,0.374383
21,left,1,20,0.353684
21,left,1,21,0.35445
21,left,1,22,0.311062
21,left,1,23,0.321116
21,left,1,24,0.340214
21,left,1,25,0.315594
21,left,1,26,0.296307
21,left,1,27,0.304967
21,left,1,28,0.26875
21,left,1,29,0.263791
21,left,1,30,0.245644
21,left,1,31,0.258749
21,left,1,32,0.223285
21,left,1,33,0.219168
21,left,1,34,0.227503
21,left,1,35,0.202359
21,left,1,36,0.199008
21,left,1,37,0.173907
21,left,1,38,0.19228
21,left,1,39,0.176291
21,left,1,40,0.176082
21,left,1,41,0.146717
21,left,1,42,0.152539
21,left,1,43,0.142737
21,left,1,44,0.126396
21,left,1,45,0.124322
21,left,1,46,0.101123
21,left,1,47,0.103995
21,left,1,48,0.0985791
21,left,1,49,0.092423
21,left,1,50,0.0916807
21,left,1,51,0.0634894
21,left,1,52,0.0763843
21,left,1,53,0.0563414
21,left,1,54,0.068808
21,left,1,55,0.0599913
21,left,1,56,0.0736283
21,left,1,57,0.0648799
21,left,1,58,0.0607236
21,left,1,59,0.0551806
21,left,1,60,0.00693291
21,left,1,61,0.0545186
21,left,1,62,0.0475655
21,left,1,63,0.05696
21,left,1,64,0.0717379
21,left,1,65,0.0724735
21,left,1,66,0.0801751
21,left,1,67,0.0818768
21,left,1,68,0.0945654
21,left,1,69,0.102316
21,left,1,70,0.108544
21,left,1,71,0.12329
21,left,1,72,0.125426
21,left,1,73,0.13428
21,left,1,74,0.138139
21,left,1,75,0.146486
21,left,1,76,0.163026
21,left,1,77,0.164351
21,left,1,78,0.180032
21,left,1,79,0.200749
21,left,1,80,0.218167
21,left,1,81,0.217492
21,left,1,82,0.227783
21,left,1,83,0.219861
21,left,1,84,0.243883
21,left,1,85,0.260856
21,left,1,86,0.267105
21,left,1,87,0.293045
21,left,1,88,0.29181
21,left,1,89,0.310555
21,left,1,90,0.297311
21,left,1,91,0.32296
21,left,1,92,0.32419
21,left,1,93,0.342411
21,left,1,94,0.347178
21,left,1,95,0.354821
21,left,1,96,0.36246
21,left,1,97,0.386342
21,left,1,98,0.388691
21,left,1,99,0.429009
21,left,1,100,0.422864
21,left,1,101,0.440573
21,left,1,102,0.45831
21,left,1,103,0.454161
21,left,1,104,0.488802
21,left,1,105,0.485884
21,left,1,106,0.509198
21,left,1,107,0.563676
21,left,1,108,0.516696
21,left,1,109,0.539549
21,left,1,110,0.512428
21,left,1,111,0.561728
21,left,1,112,0.545476
21,left,1,113,0.577869
21,left,1,114,0.581023
21,left,1,115,0.605876
21,left,1,116,0.607715
21,left,1,117,0.634637
21,left,1,118,0.612807
21,left,2,1,0.671021
21,left,2,2,0.656842
21,left,2,3,0.640913
21,left,2,4,0.623904
