subject,hand,comparison,volume_a,volume_b,overlap
21,left,D1_D2,1810,1232,1124
21,left,D1_D3,1810,1827,1500
21,left,D1_D4,1810,1782,1462
21,left,D1_D5,1810,1182,886
21,left,D2_D3,1232,1827,1139
21,left,D2_D4,1232,1782,1175
21,left,D2_D5,1232,1182,824
21,left,D3_D4,1827,1782,1502
21,left,D3_D5,1827,1182,1005
21,left,D4_D5,1782,1182,1051
21,right,D1_D2,603,602,350
21,right,D1_D3,603,1183,404
21,right,D1_D4,603,401,260
21,right,D1_D5,603,603,220
21,right,D2_D3,602,1183,433
21,right,D2_D4,602,401,276
21,right,D2_D5,602,603,265
21,right,D3_D4,1183,401,287
21,right,D3_D5,1183,603,415
21,right,D4_D5,401,603,262
