subject,hand,comparison,distance
21,left,D1_D2,0.1170741
21,left,D1_D3,0.1321622
21,left,D1_D4,0.2727455
21,left,D1_D5,0.5124784
21,left,D2_D3,0.01838817
21,left,D2_D4,0.07554164
21,left,D2_D5,0.2016457
21,left,D3_D4,0.1263685
21,left,D3_D5,0.2498778
21,left,D4_D5,0.03358592
21,right,D1_D2,0.1601033
21,right,D1_D3,0.09759876
21,right,D1_D4,0.1504008
21,right,D1_D5,0.1732314
21,right,D2_D3,0.1510451
21,right,D2_D4,0.0679024
21,right,D2_D5,0.16928
21,right,D3_D4,0.0887454
21,right,D3_D5,0.1613049
21,right,D4_D5,0.0364624
