subject,hand,comparison,distance
15,left,D1_D2,0.2774184
15,left,D1_D3,0.312438
15,left,D1_D4,0.3738582
15,left,D1_D5,0.3751383
15,left,D2_D3,0.1729582
15,left,D2_D4,0.2588378
15,left,D2_D5,0.2893123
15,left,D3_D4,0.1420129
15,left,D3_D5,0.2630631
15,left,D4_D5,0.06316088
15,right,D1_D2,0.1175125
15,right,D1_D3,0.2267635
15,right,D1_D4,0.155627
15,right,D1_D5,0.2924797
15,right,D2_D3,0.086794
15,right,D2_D4,0.1127576
15,right,D2_D5,0.2545856
15,right,D3_D4,0.039638
15,right,D3_D5,0.1417635
15,right,D4_D5,0.1030214
