subject,hand,digit,hemisphere,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
15,left,D1,left,8231,-5.272,-0.379,-0.1084,-0.1054,0.1739,1.451,0.2471,137,98,137,-47,-28,65
15,left,D1,right,7943,-2.169,-0.391,0.002673,-0.06416,0.5178,3.197,0.4104,35,114,129,55,-12,57
15,left,D2,left,8231,-3.698,-0.5435,-0.1959,-0.1571,0.1319,0.7163,0.3207,127,113,139,-37,-13,67
15,left,D2,right,7943,-3.327,-0.516,-0.1085,-0.1185,0.339,1.458,0.3684,30,114,112,60,-12,40
15,left,D3,left,8231,-10.32,-0.3747,-0.1077,-0.09787,0.1629,1.174,0.2579,126,112,141,-36,-14,69
15,left,D3,right,7943,-3.027,-0.5104,-0.08875,-0.11,0.3647,2.135,0.3869,42,101,138,48,-25,66
15,left,D4,left,8231,-3.931,-0.5158,-0.158,-0.1088,0.1723,1.267,0.3342,138,108,135,-48,-18,63
15,left,D4,right,7943,-2.848,-0.4264,0.008594,-0.02663,0.5176,2.848,0.4277,43,103,139,47,-23,67
15,left,D5,left,8231,-3.966,-0.7459,-0.3247,-0.2645,0.04318,5.37,0.3947,138,108,135,-48,-18,63
15,left,D5,right,7943,-4.882,-0.6114,-0.164,-0.1659,0.2786,2.913,0.4333,43,104,139,47,-22,67
15,right,D1,left,8230,-15.75,-0.3327,0.04173,0.01167,0.4228,5.026,0.4205,149,108,122,-59,-18,50
15,right,D1,right,7943,-0.9754,-0.2832,-0.008364,-0.008748,0.2642,1.535,0.2229,39,114,131,51,-12,59
15,right,D2,left,8230,-2.879,-0.618,-0.2106,-0.2122,0.1852,17.86,0.4295,139,111,133,-49,-15,61
15,right,D2,right,7943,-1.951,-0.5011,-0.1814,-0.1541,0.1235,1.396,0.2803,40,113,134,50,-13,62
15,right,D3,left,8230,-1.812,-0.3292,0.1349,0.1142,0.6168,5.576,0.4078,139,111,133,-49,-15,61
15,right,D3,right,7943,-2.982,-0.3028,-0.04701,-0.03798,0.2273,0.7603,0.233,32,118,112,58,-8,40
15,right,D4,left,8230,-1.991,-0.4278,-0.04069,-0.08257,0.4307,4.713,0.3664,139,111,133,-49,-15,61
15,right,D4,right,7943,-1.87,-0.4805,-0.1901,-0.1777,0.09393,0.6636,0.2416,47,99,121,43,-27,49
15,right,D5,left,8230,-3.221,-0.3967,0.2294,0.1252,0.9811,9.653,0.6003,139,111,133,-49,-15,61
15,right,D5,right,7943,-2.205,-0.4682,-0.1499,-0.1398,0.1755,1.243,0.2846,40,112,134,50,-14,62
