subject,hand,run,volume,displacement
15,left,1,1,0.400583
15,left,1,2,0.358351
15,left,1,3,0.290117
15,left,1,4,0.29092
15,left,1,5,0.329813
15,left,1,6,0.289366
15,left,1,7,0.254495
15,left,1,8,0.326232
15,left,1,9,0.258917
15,left,1,10,0.26565
15,left,1,11,0.243611
15,left,1,12,0.240181
15,left,1,13,0.305751
15,left,1,14,0.300956
15,left,1,15,0.268639
15,left,1,16,0.236285
15,left,1,17,0.257789
15,left,1,18,0.343396
15,left,1,19,0.309385
15,left,1,20,0.224081
15,left,1,21,0.164832
15,left,1,22,0.187186
15,left,1,23,0.259585
15,left,1,24,0.226115
15,left,1,25,0.152926
15,left,1,26,0.135949
15,left,1,27,0.212416
15,left,1,28,0.209884
15,left,1,29,0.175884
15,left,1,30,0.15391
15,left,1,31,0.172105
15,left,1,32,0.172904
15,left,1,33,0.153682
15,left,1,34,0.144177
15,left,1,35,0.201152
15,left,1,36,0.149578
15,left,1,37,0.119511
15,left,1,38,0.114259
15,left,1,39,0.202563
15,left,1,40,0.161242
15,left,1,41,0.147264
15,left,1,42,0.146964
15,left,1,43,0.108164
15,left,1,44,0.130759
15,left,1,45,0.20804
15,left,1,46,0.187968
15,left,1,47,0.14379
15,left,1,48,0.134941
15,left,1,49,0.242848
15,left,1,50,0.242992
15,left,1,51,0.15105
15,left,1,52,0.13575
15,left,1,53,0.182704
15,left,1,54,0.174178
15,left,1,55,0.102895
15,left,1,56,0.0710674
15,left,1,57,0.115711
15,left,1,58,0.189551
15,left,1,59,0.117842
15,left,1,60,0.00894086
15,left,1,61,0.12484
15,left,1,62,0.200441
15,left,1,63,0.167053
15,left,1,64,0.0799217
15,left,1,65,0.102304
15,left,1,66,0.176394
15,left,1,67,0.150677
15,left,1,68,0.103795
15,left,1,69,0.132595
15,left,1,70,0.190617
15,left,1,71,0.155479
15,left,1,72,0.0855423
15,left,1,73,0.102164
15,left,1,74,0.110185
15,left,1,75,0.19255
15,left,1,76,0.159876
15,left,1,77,0.100602
15,left,1,78,0.105087
15,left,1,79,0.127819
15,left,1,80,0.161133
15,left,1,81,0.114255
15,left,1,82,0.209025
15,left,1,83,0.191773
15,left,1,84,0.126139
15,left,1,85,0.203468
15,left,1,86,0.181642
15,left,1,87,0.134571
15,left,1,88,0.184263
15,left,1,89,0.214322
15,left,1,90,0.217667
15,left,1,91,0.178584
15,left,1,92,0.214269
15,left,1,93,0.267809
15,left,1,94,0.20545
15,left,1,95,0.16129
15,left,1,96,0.228235
15,left,1,97,0.197919
15,left,1,98,0.130689
15,left,1,99,0.26159
15,left,1,100,0.198494
15,left,1,101,0.15006
15,left,1,102,0.27116
15,left,1,103,0.233163
15,left,1,104,0.171287
15,left,1,105,0.243746
15,left,1,106,0.274103
15,left,1,107,0.209839
15,left,1,108,0.178325
15,left,1,109,0.270948
15,left,1,110,0.348821
15,left,1,111,0.260398
15,left,1,112,0.205833
15,left,1,113,0.318612
15,left,1,114,0.323366
15,left,1,115,0.230089
15,left,1,116,0.226882
15,left,1,117,0.281417
15,left,1,118,0.316152
