subject,hand,comparison,volume_a,volume_b,overlap
15,left,D1_D2,571,307,143
15,left,D1_D3,571,345,110
15,left,D1_D4,571,608,79
15,left,D1_D5,571,230,41
15,left,D2_D3,307,345,95
15,left,D2_D4,307,608,112
15,left,D2_D5,307,230,46
15,left,D3_D4,345,608,157
15,left,D3_D5,345,230,75
15,left,D4_D5,608,230,137
15,right,D1_D2,256,92,51
15,right,D1_D3,256,713,71
15,right,D1_D4,256,342,38
15,right,D1_D5,256,1735,69
15,right,D2_D3,92,713,74
15,right,D2_D4,92,342,43
15,right,D2_D5,92,1735,68
15,right,D3_D4,713,342,170
15,right,D3_D5,713,1735,468
15,right,D4_D5,342,1735,262
