subject,hand,comparison,volume_a,volume_b,overlap
15,left,D1_D2,315,48,0
15,left,D1_D3,315,142,5
15,left,D1_D4,315,326,4
15,left,D1_D5,315,115,1
15,left,D2_D3,48,142,0
15,left,D2_D4,48,326,0
15,left,D2_D5,48,115,0
15,left,D3_D4,142,326,25
15,left,D3_D5,142,115,0
15,left,D4_D5,326,115,55
15,right,D1_D2,223,29,8
15,right,D1_D3,223,425,23
15,right,D1_D4,223,212,12
15,right,D1_D5,223,1198,11
15,right,D2_D3,29,425,9
15,right,D2_D4,29,212,9
15,right,D2_D5,29,1198,11
15,right,D3_D4,425,212,77
15,right,D3_D5,425,1198,217
15,right,D4_D5,212,1198,148
