subject,hand,comparison,distance
27,left,D1_D2,0.02956209
27,left,D1_D3,0.0262377
27,left,D1_D4,0.04829983
27,left,D1_D5,0.0008132636
27,left,D2_D3,0.07087705
27,left,D2_D4,0.05365448
27,left,D2_D5,0.0509557
27,left,D3_D4,0.02155084
27,left,D3_D5,0.01634768
27,left,D4_D5,-0.01304015
27,right,D1_D2,0.01577016
27,right,D1_D3,0.06629314
27,right,D1_D4,0.1431879
27,right,D1_D5,0.09206162
27,right,D2_D3,-0.006629778
27,right,D2_D4,0.08028707
27,right,D2_D5,0.05277574
27,right,D3_D4,0.03637726
27,right,D3_D5,0.05789193
27,right,D4_D5,0.02697985
