subject,hand,comparison,volume_a,volume_b,overlap
27,left,D1_D2,98,175,29
27,left,D1_D3,98,100,21
27,left,D1_D4,98,174,48
27,left,D1_D5,98,7,0
27,left,D2_D3,175,100,12
27,left,D2_D4,175,174,33
27,left,D2_D5,175,7,0
27,left,D3_D4,100,174,27
27,left,D3_D5,100,7,0
27,left,D4_D5,174,7,0
27,right,D1_D2,468,352,213
27,right,D1_D3,468,1018,330
27,right,D1_D4,468,416,128
27,right,D1_D5,468,564,215
27,right,D2_D3,352,1018,278
27,right,D2_D4,352,416,105
27,right,D2_D5,352,564,194
27,right,D3_D4,1018,416,184
27,right,D3_D5,1018,564,333
27,right,D4_D5,416,564,209
