subject,hand,comparison,volume_a,volume_b,overlap
17,left,D1_D2,960,871,510
17,left,D1_D3,960,1126,627
17,left,D1_D4,960,413,244
17,left,D1_D5,960,649,360
17,left,D2_D3,871,1126,607
17,left,D2_D4,871,413,283
17,left,D2_D5,871,649,415
17,left,D3_D4,1126,413,302
17,left,D3_D5,1126,649,451
17,left,D4_D5,413,649,273
17,right,D1_D2,290,276,61
17,right,D1_D3,290,166,20
17,right,D1_D4,290,273,22
17,right,D1_D5,290,439,38
17,right,D2_D3,276,166,19
17,right,D2_D4,276,273,12
17,right,D2_D5,276,439,28
17,right,D3_D4,166,273,31
17,right,D3_D5,166,439,45
17,right,D4_D5,273,439,66
