subject,hand,comparison,volume_a,volume_b,overlap
17,left,D1_D2,757,826,351
17,left,D1_D3,757,1083,360
17,left,D1_D4,757,636,245
17,left,D1_D5,757,950,274
17,left,D2_D3,826,1083,524
17,left,D2_D4,826,636,383
17,left,D2_D5,826,950,450
17,left,D3_D4,1083,636,471
17,left,D3_D5,1083,950,601
17,left,D4_D5,636,950,450
17,right,D1_D2,433,562,142
17,right,D1_D3,433,477,97
17,right,D1_D4,433,530,68
17,right,D1_D5,433,817,96
17,right,D2_D3,562,477,227
17,right,D2_D4,562,530,164
17,right,D2_D5,562,817,205
17,right,D3_D4,477,530,214
17,right,D3_D5,477,817,260
17,right,D4_D5,530,817,270
