subject,hand,comparison,distance
9,left,D1_D2,0.238886
9,left,D1_D3,0.4048489
9,left,D1_D4,0.376424
9,left,D1_D5,0.4050277
9,left,D2_D3,0.06403407
9,left,D2_D4,0.08316523
9,left,D2_D5,0.1183277
9,left,D3_D4,0.04696638
9,left,D3_D5,0.1137578
9,left,D4_D5,0.03143608
9,right,D1_D2,0.1703784
9,right,D1_D3,0.3730298
9,right,D1_D4,0.4195493
9,right,D1_D5,0.4574903
9,right,D2_D3,0.1357999
9,right,D2_D4,0.2031874
9,right,D2_D5,0.3512414
9,right,D3_D4,0.1042735
9,right,D3_D5,0.2798234
9,right,D4_D5,0.06639408
