subject,hand,comparison,distance
9,left,D1_D2,0.1772084
9,left,D1_D3,0.3401635
9,left,D1_D4,0.3748106
9,left,D1_D5,0.3825597
9,left,D2_D3,0.03151674
9,left,D2_D4,0.06213026
9,left,D2_D5,0.1157556
9,left,D3_D4,0.04561327
9,left,D3_D5,0.09478648
9,left,D4_D5,0.03551973
9,right,D1_D2,0.1563502
9,right,D1_D3,0.3967751
9,right,D1_D4,0.4501774
9,right,D1_D5,0.4496342
9,right,D2_D3,0.1055998
9,right,D2_D4,0.2016059
9,right,D2_D5,0.3330908
9,right,D3_D4,0.1205752
9,right,D3_D5,0.2345587
9,right,D4_D5,0.08567719
