subject,hand,digit,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
11,left,D1,8715,-1.536,-0.3278,0.004912,-0.02325,0.3476,3.45,0.32,151,114,115,-61,-12,43
11,left,D1,9614,-1.606,-0.3464,0.1033,0.06413,0.5637,8.284,0.4635,31,109,127,59,-17,55
11,left,D2,8715,-5.091,-0.5959,-0.1257,-0.1723,0.4044,3.63,0.4691,151,114,115,-61,-12,43
11,left,D2,9614,-0.9617,-0.2189,0.2755,0.2129,0.8059,5.645,0.4951,36,105,134,54,-21,62
11,left,D3,8715,-6.84,-0.637,-0.2254,-0.2288,0.2198,1.929,0.4199,145,83,123,-55,-43,51
11,left,D3,9614,-1.521,-0.3611,0.2104,0.1333,0.8225,4.475,0.535,36,105,134,54,-21,62
11,left,D4,8715,-2.719,-0.5702,-0.1617,-0.1842,0.2756,1.912,0.3713,152,112,116,-62,-14,44
11,left,D4,9614,-1.815,-0.4495,0.1239,0.08719,0.6932,4.651,0.4959,39,98,137,51,-28,65
11,left,D5,8715,-6.452,-0.7594,-0.2237,-0.2616,0.3676,3.539,0.5161,151,114,115,-61,-12,43
11,left,D5,9614,-1.299,-0.2658,0.3078,0.2288,0.9491,5.75,0.5325,39,98,137,51,-28,65
11,right,D1,8715,-4.395,-0.8798,-0.198,-0.2061,0.4815,4.337,0.6163,151,114,115,-61,-12,43
11,right,D1,9614,-3.574,-0.6062,-0.2407,-0.234,0.1241,1.238,0.3243,36,88,125,54,-38,53
11,right,D2,8715,-2.328,-0.6294,-0.03702,-0.1102,0.6063,4.0,0.5683,138,111,132,-48,-15,60
11,right,D2,9614,-1.044,-0.3114,-0.01385,-0.0205,0.2855,1.354,0.245,48,114,138,42,-12,66
11,right,D3,8715,-6.708,-1.072,-0.3271,-0.3297,0.4652,3.894,0.7104,139,103,136,-49,-23,64
11,right,D3,9614,-3.979,-0.6404,-0.2935,-0.2594,0.06258,0.7966,0.3556,31,93,123,59,-33,51
11,right,D4,8715,-5.136,-0.7783,-0.1966,-0.2053,0.4489,2.891,0.5513,135,99,137,-45,-27,65
11,right,D4,9614,-2.548,-0.3274,-0.0175,-0.01413,0.3017,1.426,0.2738,50,114,138,40,-12,66
11,right,D5,8715,-3.947,-0.8275,-0.1868,-0.1867,0.4716,2.706,0.5874,145,83,124,-55,-43,52
11,right,D5,9614,-3.426,-0.4275,-0.1216,-0.1063,0.1911,1.266,0.2935,37,88,125,53,-38,53
