subject,hand,comparison,distance
11,left,D1_D2,0.1904759
11,left,D1_D3,0.4813138
11,left,D1_D4,0.5966694
11,left,D1_D5,0.4044383
11,left,D2_D3,0.1488389
11,left,D2_D4,0.3051455
11,left,D2_D5,0.2387856
11,left,D3_D4,0.1604882
11,left,D3_D5,0.2207665
11,left,D4_D5,0.09846853
11,right,D1_D2,0.2364328
11,right,D1_D3,0.2504984
11,right,D1_D4,0.3013765
11,right,D1_D5,0.2568257
11,right,D2_D3,0.1945811
11,right,D2_D4,0.2998512
11,right,D2_D5,0.2447619
11,right,D3_D4,0.09189823
11,right,D3_D5,0.09345239
11,right,D4_D5,0.02802313
