subject,hand,comparison,volume_a,volume_b,overlap
11,left,D1_D2,826,1314,348
11,left,D1_D3,826,1200,195
11,left,D1_D4,826,878,107
11,left,D1_D5,826,1530,231
11,left,D2_D3,1314,1200,685
11,left,D2_D4,1314,878,450
11,left,D2_D5,1314,1530,673
11,left,D3_D4,1200,878,561
11,left,D3_D5,1200,1530,784
11,left,D4_D5,878,1530,708
11,right,D1_D2,352,568,231
11,right,D1_D3,352,201,148
11,right,D1_D4,352,292,113
11,right,D1_D5,352,214,126
11,right,D2_D3,568,201,150
11,right,D2_D4,568,292,115
11,right,D2_D5,568,214,134
11,right,D3_D4,201,292,134
11,right,D3_D5,201,214,142
11,right,D4_D5,292,214,132
